title,pl,en
"Duszo ma, Pana chwal"," Duszo ma, Pana chwal, oddaj Bogu cześć, Świętemu śpiewaj pieśń. Z mocą wywyższaj go, duszo ma, Uwielbiam, Boże, Cię!  Nowy dzień wraz ze wschodem słońca Znów nadszedł czas, by Ci śpiewać pieśń. Cokolwiek jest już za mną  i to wszystko, co przede mną Wiem, będę śpiewać, gdy nadejdzie zmrok.  Duszo ma, Pana chwal, oddaj Bogu cześć, Świętemu śpiewaj pieśń. Z mocą wywyższaj go, duszo ma, Uwielbiam, Boże, Cię!  Bogaty w miłość, gniew oddalasz, Panie, Twe serce miłe, wielkie Imię Twe. Ze względu na Twą dobroć  będę śpiewać Tobie pieśni, Wiele powodów, by uwielbiać Cię.  Duszo ma, Pana chwal, oddaj Bogu cześć, Świętemu śpiewaj pieśń. Z mocą wywyższaj go, duszo ma, Uwielbiam, Boże, Cię!  Przyjdzie dzień, gdy bez sił zostanę, Nadejdzie czas mego końca tu. Dusza ma będzie już na zawsze Cię uwielbiać, W wieczności z Tobą piękna zabrzmi pieśń. ","Soul, praise God, worship God, sing a song to the Saint. With power, exalt him, he has a soul, I adore, God, You! A new day with sunrise It's time to sing a song again. Whatever is behind me and all that I know, I will sing when it's dark. Soul, praise God, worship God, sing a song to the Saint. With power, exalt him, he has a soul, I adore, God, You! Rich in love, anger, you go away, O Lord, Your good heart, Your great Name. Because of your goodness, I will sing songs to You, Many reasons to worship You. Soul, praise God, worship God, sing a song to the Saint. With power, exalt him, he has a soul, I adore, God, You! There will come a day when I will be left without strength. The time will come to end here. The soul will adore you forever. In the eternity with you, beauty will sound a song."
Dzielmy się wiarą jak chlebem," Dzielmy się wiarą jak chlebem, dajmy świadectwo nadziei. Bóg ofiarował nam siebie i my mamy się Nim z ludźmi dzielić.  Chleba tego nie zabraknie rozmnoży się podczas łamania. Potrzeba tylko rąk naszych i gotowości dawania.  Dzielmy się wiarą jak chlebem, dajmy świadectwo nadziei. Bóg ofiarował nam siebie i my mamy się Nim z ludźmi dzielić.  Nikt nie zapala lampy, żeby ją schować pod korcem. Skoro Bóg nas światłem natchnął trzeba z tym światłem iść w drogę.  Dzielmy się wiarą jak chlebem, dajmy świadectwo nadziei. Bóg ofiarował nam siebie i my mamy się Nim z ludźmi dzielić.  Odrzućmy zwątpienie i trwogę, choć świat się śmieje z proroków musimy świadczyć odważnie w służbie ludziom i Bogu. ","Let us share our faith as bread, let us give witness to hope. God has given himself to us and we are to share Him with people. The bread will not fail, it will multiply during the breaking. We only need our hands and readiness to give. Let us share our faith as bread, let us give witness to hope. God has given himself to us and we are to share Him with people. No one lights a lamp to hide it under the bushel. If God has inspired us with light, we must go with the light. Let us share our faith as bread, let us give witness to hope. God has given himself to us and we are to share Him with people. Let us reject doubt and fear, although the world is laughing at the prophets, we must bravely serve the people and God."
"Dzięki, o Panie! Składamy dzięki","Dzięki, o Panie! Składamy dzięki, O Wszechmogący nasz Królu w niebie!  Za to, że dałeś nam wiarę...  Za to, że dałeś nam miłość... Dzięki, o Panie! Składamy dzięki, O Wszechmogący nasz Królu w niebie!  Za to, że dałeś nam siebie...  Ty nam przebaczasz grzechy... Dzięki, o Panie! Składamy dzięki, O Wszechmogący nasz Królu w niebie!  Ty nam przywracasz życie...  Za to, że jesteś z nami... Dzięki, o Panie! Składamy dzięki, O Wszechmogący nasz Królu w niebie!  Tobie śpiewamy z radością...  Za to, że Zmartwychwstałeś... Dzięki, o Panie! Składamy dzięki, O Wszechmogący nasz Królu w niebie!  Za to, żeś Ducha nam zesłał... ","Thanks, Lord! Thank you, O Almighty our King in Heaven! For giving us faith ... For giving us love ... Thanks, Lord! Thank you, O Almighty our King in Heaven! For giving us yourselves ... You forgive us sins ... Thanks, Lord! Thank you, O Almighty our King in Heaven! You bring us back to life ... For being with us ... Thanks, Lord! Thank you, O Almighty our King in Heaven! We sing to you with joy ... For having resurrected ... Thank you, Lord! Thank you, O Almighty our King in Heaven! For sending the Spirit to us ..."
Gdy kiedyś Pan," Gdy kiedyś Pan powróci znów, abyśmy też tam byli, gdy kiedyś Pan powróci znów.   Gdy Święci swój opuszczą grób , abyśmy też tam byli, gdy kiedyś Pan powróci znów.   Gdy Boga tron otoczą w krąg, abyśmy też tam byli, gdy kiedyś Pan powróci znów.   Gdy księgę swą otworzy Bóg, abyśmy też tam byli, gdy kiedyś Pan powróci znów.  Gdy po imieniu wezwie Pan, abyśmy też tam byli, gdy kiedyś Pan powróci znów.   Gdy ucztę nam zgotuje Bóg, abyśmy też tam byli, gdy kiedyś Pan powróci znów.  Gdy zabrzmi pieśń: Alleluja, abyśmy też tam byli, gdy kiedyś Pan powróci znów. ","When the Lord will come back again, that we should also be there when the Lord will return again. When the Saints leave the grave, so that we may also be there when the Lord returns once. When the throne of God will be surrounded, let us also be there when the Lord returns once. When God opens his book, let us also be there when the Lord returns once. When you call on the name, let us also be there when the Lord returns once. When God makes us a feast, let us also be there when the Lord returns once. When the song, Alleluia, sounds, let us also be there when the Lord returns once."
Gdy klęczę przed Tobą," Gdy klęczę przed Tobą Modlę się i składam hołd Weź ten dzień, uczyń go swym I we mnie miłość wznieć  Ave Maria Gratia plena Dominus Tecum Benedicta tu  Wszystko Tobie daję Każdy sen i każdą myśl Matko Boga, matko moja Wznieś je przed Boży tron  Ave Maria Gratia plena Dominus Tecum Benedicta tu  Gdy klęczę przed Tobą Widzę Twa radosną twarz Każda myśl, każde słowo Niech spocznie w dłoniach Twych  Ave Maria Gratia plena Dominus Tecum Benedicta tu ","When I kneel in front of you I pray and pay homage Take this day, make him yours and love me in my life Ave Maria Gratia plena Dominus Tecum Benedicta, I give you everything I sleep and every thought Mother of God, my mother, raise them before God's throne Ave Maria Gratia plena Dominus Tecum Benedicta, here, when I kneel in front of you I see Your joyful face Every thought, every word Let rest in Your hands Ave Ave Maria Gratia plena Dominus Tecum Benedicta here"
Gdy schodzimy się," Gdy schodzimy się Niech Święty Duch w nas działa Gdy schodzimy się, By sławić imię Twe Wiemy dobrze, że gdy serca są otwarte Błogosławisz mocą Swą Błogosławisz boś obiecał to Błogosławisz mocą Swą ","When we come down Let the Holy Spirit work in us When we come down, To praise your name We know well that when the hearts are open You bless with Your strength You bless You have promised that You bless with His strength"
GLORIA!!! (Na niedzielę i święta)," Gloria in excelsis Deo, Gloria Gloria!  Chwalimy Cię, błogosławimy Cię  Wielbimy Cię, wysławiamy Cię  Dzięki Ci składamy, bo wielka jest chwała Twoja. Panie Boże, Królu Nieba  Boże Ojcze Wszechmogący  Panie Synu Jednorodzony  Jezu Chryste, Jezu Chryste, Jezu Chryste!  Gloria in excelsis Deo, Gloria Gloria!  Panie Boże, Baranku Boży, Synu Ojca  Który gładzisz grzechy świata zmiłuj się nad nami,  Który gładzisz grzechy świata przyjm błaganie nasze,  Który siedzisz po prawicy Ojca zmiłuj się nad nami.  Albowiem tylko Tyś jest Święty  Tylko Tyś jest Panem Tylko Tyś Najwyższy  Jezu Chryste Z Duchem Świętym  W chwale Boga Ojca  Amen Amen Amen Amen Amen! ","Gloria in excelsis Deo, Gloria Gloria! We praise You, we bless You, We praise You, we praise You We give thanks to You, for Your glory is great. Lord God, King of Heaven, God, Father Almighty Lord, Son, only-begotten Jesus Christ, Jesus Christ, Jesus Christ! Gloria in excelsis Deo, Gloria Gloria! Lord God, Lamb of God, son of the Father, Who take away the sins of the world, have mercy on us, Who take away the sins of the world, accept our plea, Who sit at the right hand of the Father, have mercy on us. For only You are Holy Only You are Lord Only You, the Supreme Jesus Christ With the Holy Spirit In the Glory of God the Father Amen Amen Amen Amen Amen!"
Godzien o godzien jest Bóg," Godzien, o godzien jest Bóg, siedzący na tronie, Baranek wśród chwał, przyjąć wdzięczność siłę i moc, błogosławieństwo i cześć.  On Panem jest od wieków na wieki. Amen.  Będziemy niezmiernie wciąż trwać w jedności i w prawdzie, oddając Ci hołd, miłość, wdzięczność, siłę i moc, błogosławieństwo i cześć.  On Panem jest od wieków na wieki. Amen. ","Worthy, God is worthy, sitting on the throne, Lamb among the glories, gratitude, strength and power, blessing and honor. He has been Lord for ever. Amen. We will continue immeasurably in unity and in truth, giving you homage, love, gratitude, strength and power, blessing and honor. He has been Lord for ever. Amen."
Gwiazdo zaranna," Gwiazdo zaranna, obleczona w słońce  - módl się za nami  Chwały ikono, Dziewico posłuszna - módl się za nami  Gwiazdo przewodnia, Służebnico Pańska - módl się za nami  Matko żyjących, Początku Kościoła - módl się za nami  Bogarodzico, Córo Twego Syna - módl się za nam  Znaku nadziei, Mieszkanie mądrości - módl się za nami ","Morning star, clothed with the sun - pray for us Glory icon, Virgin obey - pray for us Guide star, Servant of the Lord - pray for us Mother of the living, Beginning of the Church - pray for us, the Father, daughter of your Son - pray for us us Sign of hope, Flat of wisdom - pray for us"
Idź w pokoju, Idź w pokoju    A Bóg Izraela niech  spełni prośbę Którą do Niego zaniosłeś. ,Go in peace And the God of Israel let him fulfill the request You brought to Him.
"Ja wierzę, że to Jezus"," Ja wierzę, że to Jezus, wierzę, że On Synem Boga jest. On zmarł i powstał, aby żyć i za cenę śmierci życie dał. Ref Wierzę, że jest tu teraz,  stoi pośród nas,  ma moc nas teraz uzdrawiać,  ma przebaczenia dar.  Ja wierzę Tobie Panie, wierzę, że Tyś Synem Boga jest. Zmarłeś i powstałeś, aby żyć, by za cenę śmierci życie dać. RefWierzę, że tutaj jesteś, stoisz pośród nas, masz moc nas teraz uzdrawiać,  masz przebaczenia dar. ","I believe it is Jesus, I believe that he is the Son of God. He died and rose to live and gave his life for the price of death. Ref I believe he is here now, he is standing among us, he has the power to heal us now, he has forgiveness for a gift. I believe in You, Lord, I believe that You are the Son of God. You died and arose to live, to give life for the price of death. I re-believe that you are here, you stand among us, you have the power to heal us now, you have forgiveness for a gift."
Jak Dawid," Jak Dawid, kiedy przed Bogiem był, będę tańczył ze wszystkich sił przed Panem, Królem mym.   Jak Miriam grała na bębnie swym, będę klaskać ze wszystkich sił przed Panem, Królem mym.  Pokłońmy się przed Bogiem,  oddajmy Jemu cześć, wielbijmy Imię Jezus, śpiewajmy Panu pieśń. ","Like David, when he was before God, I would dance with all my might before the Lord, my King. As Miriam played on her drum, I will clap with all my might before the Lord, my King. Let us bow to God, let us worship Him, let us praise the Name of Jesus, let us sing the song to the Lord."
Jak dobrze jest dziękować Ci," Jak dobrze jest dziękować Ci Panie i śpiewać psalm Twojemu Imieniu i opowiadać rano Twoje miłosierdzie, a w nocy wierność Twoją przy dziesięciostrunnej harfie i lutni i dźwięcznej cytrze... ",How good is to thank You Lord and sing the Psalm with Your Name and tell Your mercy in the morning and Your faithfulness at ten-string harp and lute and sonorous lyre at night ...
Jak ożywczy deszcz," Jak ożywczy deszcz Duchu Święty przyjdź  Dotknij naszych serc, rozpal ognia żar. Dziś przenikaj nas tchnieniem mocy swej, Bądź nam światłem dnia i nadzieją serc.  Dziś przenikaj nas tchnieniem mocy swej, Bądź nam światłem dnia i nadzieją serc. ","Like an invigorating rain, Holy Spirit come touch our hearts, light a fire. Today, penetrate us with the breath of your power, be with us the light of day and the hope of our hearts. Today, penetrate us with the breath of your power, be with us the light of day and the hope of our hearts."
Jak wielki jest Bóg," To On, nasz Pan i Król  odziany w majestat Swój.  Ziemio raduj się, ziemio raduj się. Okrywa światłość Go, ucieka ciemność i zło,  drży na Jego głos, drży na Jego głos.  Jak wielki jest Bóg,  jak wielki jest Bóg,  jak wielki jest Nasz Bóg.  On czas w swej dłoni ma,  od wieków na wieki trwa,  początkiem, końcem On,  początkiem, końcem On.  Jedyny w Trójcy Bóg, Ojciec, Syn i Duch,  Barankiem jest i Lwem, Barankiem jest i Lwem.  Jak wielki jest Bóg,  jak wielki jest Bóg,  jak wielki jest Nasz Bóg.  Na wieki godzien jest przyjąć chwałę, moc i cześć, ogłaszać chcę jak wielki jest Bóg.  Jak wielki jest Bóg,  jak wielki jest Bóg,  jak wielki jest Nasz Bóg. ","It is He, our Lord and King clothed in the majesty of His. Earth rejoice, earth rejoice. He covers the light of him, darkness and evil run away, trembling in his voice, trembling at his voice. How great God is, how great God is, how great God is. He has the time in his hand, has lasted forever, beginning, ending He, the beginning, the end He. The One in the Trinity God, Father, Son and Spirit, the Lamb is also the Lion, the Lamb is and the Lion. How great God is, how great God is, how great God is. It is worthy to accept glory, power and honor forever, I want to declare how great God is. How great God is, how great God is, how great God is."
Jeden chleb," Jeden chleb, co zmienia się w Chrystusa Ciało, Z wielu ziaren pszenicznych się rodzi.  Jedno wino, co się Krwią Chrystusa stało, Z soku wielu winnych gron pochodzi.  Jak ten chleb co złączył złote ziarna,  Tak niech miłość łączy nas ofiarna. Jak ten kielich łączy kropel wiele, Tak nas, Chryste, w swoim złącz Kościele.  O Pasterzu, zgromadź w jednej swej owczarni, Zabłąkane owce, które giną, W jeden Kościół zbierz na nowo i przygarnij, Byśmy jedną stali się rodziną.  Jak ten chleb co złączył złote ziarna,  Tak niech miłość łączy nas ofiarna. Jak ten kielich łączy kropel wiele, Tak nas, Chryste, w swoim złącz Kościele.  Na ramiona swoje weź, o Panie, Tych, co sami wrócić już nie mogą! Niechaj zjednoczenia cud się stanie, Prowadź nas ku niebu wspólną drogą.  Jak ten chleb co złączył złote ziarna,  Tak niech miłość łączy nas ofiarna. Jak ten kielich łączy kropel wiele, Tak nas, Chryste, w swoim złącz Kościele. ","One bread, which changes into Christ's body, many wheat grains are born. One wine, what is the Blood of Christ stood, The juice of many guilty grapes comes from. Like this bread which has connected the golden grains, Let love be united to us selfless. How this cup connects many drops, So us, Christ, in our Church connections. O Shepherd, gather in one of your sheepfolds, Stray sheep that die, In one Church, gather together and embrace, That we may become one family. Like this bread which has connected the golden grains, Let love be united to us selfless. How this cup connects many drops, So us, Christ, in our Church connections. Take your shoulders, O Lord, those who can not come back alone! Let the unity of the miracle happen, lead us to the sky along a common path. Like this bread which has connected the golden grains, Let love be united to us selfless. How this cup connects many drops, So us, Christ, in our Church connections."
Jeden jest tylko Pan," Jeden jest tylko Pan, Tutaj jest Jego dom. Klęknijcie wszyscy, którzy tu wchodzicie, I razem chwalmy Go.  Miejsce to wybrał Pan, Aby wysłuchać nas. Śpiewajcie wszyscy słudzy w Jego domu, Bogu oddajmy cześć! ","One is only the Lord, Here is His home. Kneel all who come here, and let us praise him together. This place was chosen by the Lord to hear us. Sing all the servants in his house, let us worship God!"
"Jedyny Pan, prawdziwy Bóg"," Jedyny Pan, prawdziwy Bóg  Wszystko co mam, oddaję Mu On jedynym Panem jest  Sz`ma Izrael ","The only Lord, the true God. All that I have, I give Him Him the only Lord is Szma Israel"
Jest jedno ciało," Jest jedno Ciało, jest jeden Pan, jednoczy nas w Duchu,  byśmy razem szli.  Usta głoszą chwałę Mu,  w ręku słowa Jego miecz. W moc odziani tak idziemy,  zdobywając ziemię tę.   Jesteśmy ludem Króla chwał,  Jego świętym narodem,  wybranym pokoleniem,  by objawiać Jego cześć.  Jesteśmy ludem Króla chwał,  Jego świętym narodem, wielbijmy Jezusa,  On jest Królem całej ziemi tej. ","There is one body, there is one Lord, he unites us in the Spirit so that we may go together. Mouths proclaim praise to Him, in the hand of the word His sword. In the power we clothe, we go, winning this land. We are the people of the King of glory, His holy nation, the chosen generation, to reveal His honor. We are the people of the King of glory, His holy nation, let us praise Jesus, He is the King of all this earth."
Jest zakątek na tej Ziemii," Jest zakątek na tej ziemi,  gdzie powracać każdy chce, gdzie króluje Jej Oblicze,  na Nim cięte rysy dwie. Wzrok ma smutny, zatroskany,  jakby chciała prosić cię, byś w matczyną Jej opiekę oddał się.  Madonno, Czarna Madonno, jak dobrze Twym dzieckiem być! O, pozwól, Czarna Madonno, w ramiona Twoje się skryć!  W Jej ramionach znajdziesz spokój i uchronisz się od zła,  bo dla wszystkich swoich dzieci Ona Serce czułe ma. I opieką cię otoczy, Gdy Jej serce oddasz swe, Gdy powtórzysz Jej z radością słowa te:  Madonno, Czarna Madonno, jak dobrze Twym dzieckiem być! O, pozwól, Czarna Madonno, w ramiona Twoje się skryć!  Dziś, gdy wokół nas niepokój,  Gdzie się człowiek schronić ma, Gdzie ma pójść, jak nie do Matki,  Która ukojenie da? Więc błagamy, o Madonno,  Skieruj wzrok na dzieci swe I wysłuchaj, jak śpiewamy prosząc Cię:  Madonno, Czarna Madonno, jak dobrze Twym dzieckiem być! O, pozwól, Czarna Madonno, w ramiona Twoje się skryć! ","There is a corner on this earth, where everyone wants to return, where Her Face reigns, on him two cut features. His eyes are sad, concerned, as if she wanted to ask you to give her protection to her maternal care. Madonna, Black Madonna, how good a child to be! O, let me, Black Madonna, hide in Your arms! In her arms you will find peace and protect yourself from evil, because for all her children she has a tender heart. I will take care of you, When you give her your heart, When you rejoice her with joy, these words: Madonna, Black Madonna, how good a child to be! O, let me, Black Madonna, hide in Your arms! Today, when there is anxiety around us, Where is a man to take shelter, Where to go, how not to Mother, Who will give relief? So, we beg you, Madonna, look to your children and hear how we sing, asking you, Madonna, Black Madonna, how good your baby to be! O, let me, Black Madonna, hide in Your arms!"
Jesteś blisko mnie (Twoja miłość)," Jesteś blisko mnie, a tęsknie za Duchem Twym.  Kocham kroki twe i wiem, jak pukasz do drzwi.  Przychodzisz jak ciepły wiatr, Otwieram się i czuję znów, że:  Twoja miłość jak ciepły deszcz  Twoja miłość jak morze gwiazd za dnia  Twoja miłość sprawia, że  Nieskończenie dobry Święty Duch Ogarnia mnie. ","You are close to me and I miss Your Spirit. I love your steps and I know how to knock on the door. You come like a warm wind, I'm open and I feel again that: Your love like a warm rain Your love like a sea of ​​stars by day Your love makes the Infinitely good Holy Spirit Embrace me."
Jesteś Królem," Jesteś Królem, jesteś Królem, królem jest Bóg   Podnieśmy wszyscy nasze serca,  podnieśmy wszyscy nasze dłonie,  stawajmy przed obliczem Pana,  wielbiąc Go. ","You are the King, you are the King, the king is God. Let us all raise our hearts, let us all raise our hands, we stand before the Lord, glorifying Him."
Jesteś życiem mym," Jesteś życiem mym, więc każdy  ruch robię w Tobie, Jezu! Ty pozwalasz wciąż oddychać mi.  Jesteś droga mą, więc każdy  krok stawiam w Tobie, Jezu! Ty pozwalasz wciąż oddychać mi.  Fale Twoje łaski Panie. Gdzie nie spojrzę tam, wciąż widzę Cię. Twa miłość mnie uwiodła. Jezu jakże to możliwe jest? ","You are my life, so I make every move in You, Jesus! You let me still breathe. You are my dear, so I take every step in You, Jesus! You let me still breathe. Waves, Your favors, Lord. Where I will not look there, I still see you. Your love seduced me. Jesus, how is it possible?"
Jezu mój Jezu," Jezu mój Jezu,  dziś do Ciebie mówić chcę Ty mi dajesz swojego ducha Uwielbiam Cię. ","Jesus, my Jesus, today I am talking to You, I am giving You my spirit, I adore You."
Jezu Tyś jest,"Jezu, Tyś jest światłością mej duszy, Niech ciemność ma  nie przemawia do mnie już.  Jezu, Tyś jest światłością mej duszy, Daj mi moc przyjąć dziś miłość Twą. ","Jesus, You are the light of my soul, Let no darkness speak to me anymore. Jesus, You are the light of my soul, Give me strength to receive Your love today."
Jezus Chrystus moim Panem jest," Jezus Chrystus moim Panem jest Alleluja.  On kocha mnie, On kocha mnie Alleluja. ","Jesus Christ, my Lord, is Alleluia. He loves me, He loves me Hallelujah."
Jezus Chrystus to Panów Pan," Jezus Chrystus to panów Pan  i całej ziemi Król.  Jedyny Pan, Władca narodów, jedyny Pan i Bóg.  W innym imieniu nie ma zbawienia,  bo Jezus to Panów Pan, Jezus to Panów Pan, Jezus to Panów Pan. Alleluja, Alleluja, Alleluja. ","Jesus Christ is the lords of the Lord and the whole earth King. The only Lord, Lord of nations, the only Lord and God. In another name, there is no salvation, because Jesus is Lord's Lord, Jesus is Lord's Lord, Jesus is Lord's Lord. Alleluia, Alleluia, Alleluia."
Jezus daje nam zbawienie," Jezus daje nam zbawienie,  Jezus daje pokój nam. Jemu składam dziękczynienie,  chwałę z serca mego dam.  Jezus siłą mą, Jezus pieśnią mego życia. Królem wiecznym On, niepojęty w mocy swej. W nim znalazłem to czego szukałem do dzisiaj. Sam mi podał dłoń bym zwyciężał każdy dzień.  W Jego ranach uzdrowienie,  w Jego śmierci życia dar. Jego krew to oczyszczenie,  Jego życie chwałą nam.  Jezus siłą mą, Jezus pieśnią mego życia. Królem wiecznym On, niepojęty w mocy swej. W nim znalazłem to czego szukałem do dzisiaj. Sam mi podał dłoń bym zwyciężał każdy dzień. ","Jesus gives us salvation, Jesus gives us peace. I give thanks to him, I will give glory from my heart. Jesus, my strength, Jesus, the song of my life. He is the eternal King, inconceivable in his power. In it, I found what I was looking for today. He gave me his hand to win every day. In His wounds Healing, in His death, the gift of life. His blood is purification, His life is glory to us. Jesus, my strength, Jesus, the song of my life. He is the eternal King, inconceivable in his power. In it, I found what I was looking for today. He gave me his hand to win every day."
Jezus najwyższe Imię," Jezus Najwyższe Imię, Nasz Zbawiciel, Książe Pokoju, Emmanuel, Bóg jest z nami, Odkupiciel, Słowo Żywota.  Święty Bóg, Mesjasz prawdziwy, Jedyny Ojca Syn, umiłowany, zgładził grzech, Baranek na wieki, Królów Król i Panów Pan. ","Jesus, the Most High Name, Our Savior, the Prince of Peace, Emmanuel, God is with us, the Redeemer, the Word of Life. Holy God, the true Messiah, the only Father the Son, beloved, he has wiped away the sin, the Lamb forever, the kings the King and lords the Lord."
Jezus Namaszczony Pan (Twe imię jak miód)," Jezus, Jezus  Święty, Namaszczony Pan, Jezus, Jezus, Jezus Żyje Wywyższony Pan, Jezus.  Twe Imię jak miód na ustach mych, Twój Duch jest jak woda duszy mej, Twe słowo jak lampa u mych stóp, Jezu, ja kocham Cię, ja kocham. ","Jesus, Holy Jesus, Anointed Lord, Jesus, Jesus, Jesus is the Exalted Lord, Jesus. Your Name is like honey on my lips, Your Spirit is like the water of my soul, Your word like a lamp at my feet, Jesus, I love You, I love You."
Już teraz we mnie kwitną Twe ogrody,"Już teraz we mnie kwitną Twe ogrody,  Już teraz we mnie Twe królestwo jest. ","The gardens are already blooming in me, Your kingdom is in me now."
Każdy dzień upewnia mnie," Każdy dzień upewnia mnie,  Pan w miłości wierny jest, któż by inny mógł jak On, wybaczać co dzień. Boże wiem jak ranię Cię,  Często słabnę gubię sens, Jednak Ty podnosisz mnie I nadzieję dajesz mi.  Nikt nie odbierze mi tego co mam w Tobie.  Pełnię miłości, pełnię radości,  pełnię wolności  mam w Tobie! królestwo jest. ","Every day assures me, the Lord is faithful in love, who would be able to forgive every day as He did. God, I know how I hurt you, I often lose my sense, but You raise me and give me hope. Nobody will take away what I have in you. I am full of love, full of joy, full of freedom in You! the kingdom is."
Każdy spragniony," Każdy spragniony i słaby też niech przyjdzie do źródła, serce obmyje swe. Niech ból i cierpienie zanurzy Pan w swym miłosierdziu,  niech głębia woła w nas.  Panie Jezu przyjdź. ","Let everyone who is thirsty and weak also come to the source, the heart will wash his. May the Lord immerse in pain and suffering in His mercy, let depth speak to us. Lord Jesus, come."
Kiedy masz chwile smutne (Matce która pod krzyżem)," Kiedy masz chwile smutne w Twym życiu  Powierz się Matce Kiedy rozpacz rozdziera Twe serce,  Ofiaruj się Jej   Matce która pod krzyżem stała  Matce która się z Synem żegnała  Która uczyć cię będzie pokory, Cierpienia znieść ci pomoże  Ona Matka która pod krzyżem stała Matka która się z Synem żegnała Która uczyć cię będzie pokory, Cierpienia znieść ci pomoże  Kiedy ruszysz w daleką wędrówkę Powierz się Matce Gdy na szlaku zaskoczy cię burza, Ofiaruj się Jej  Matce która pod krzyżem stała  Matce która się z Synem żegnała  Która uczyć cię będzie pokory, Cierpienia znieść ci pomoże  Ona Matka która pod krzyżem stała Matka która się z Synem żegnała Która uczyć cię będzie pokory, Cierpienia znieść ci pomoże  Jeśli zgubisz swą drogę do Boga Powierz się Matce Gdy w twym sercu znów gości trwoga, Ofiaruj się Jej  Matce która pod krzyżem stała  Matce która się z Synem żegnała  Która uczyć cię będzie pokory, Cierpienia znieść ci pomoże  Ona Matka która pod krzyżem stała Matka która się z Synem żegnała Która uczyć cię będzie pokory, Cierpienia znieść ci pomoże ","When you have moments of sadness in your life, entrust yourself to the mother. When despair rends your heart, give to her mother who stood by the cross. Mother who said goodbye to the child. Who will teach you humility, help her. Mother who crossed the cross stood Mother who came to My son said goodbye Who will teach you humility, Suffering will help you When you go on a long journey. Commend to the Mother. When the storm surprises you, sacrifice to her mother who stood with the cross to the mother who said goodbye to the Son Who will teach you humility, Suffer to bear you She will help Mother who stood by the cross Mother who said goodbye to the Son Who will teach you humility, Suffering will help you If you lose your way to God, entrust yourself to the Mother When you are in fear again, give to her mother who stood under the cross with Mother She said goodbye to the Son Who will teach you humility, Suffer She will be helped by her Mother who stood under the cross Mother who said goodbye to the Son Who will teach you will be humble, Suffering suffering will help you"
"Kiedy w jasną, spokojną - O Boże"," Kiedy w jasną, spokojną, cichą noc Spoglądam na niebo pełne gwiazd, Wtedy myślę, czy życie to ma sens  I wołam do Ciebie, Ojcze nasz.   O Boże, o Boże, Panie mój, Nie pamiętaj, że czasem było źle. Wiesz dobrze, że zawsze jestem Twój  I że tylko Twoją drogą kroczyć chcę.  Kiedy w życiu tak pełnym rozczarowań Przez grzechu kamienie potknę się, Kiedy spokój utonie w fali knowań, Każdym drżeniem mej duszy szukam Cię.  O Boże, o Boże, Panie mój, Nie pamiętaj, że czasem było źle. Wiesz dobrze, że zawsze jestem Twój  I że tylko Twoją drogą kroczyć chcę.  Życie ludzi przebiega krętą drogą, Hen w górze cel mej wędrówki tkwi, I choć czasem sił braknie moim nogom, To ja dojdę, dojdę, gdy zaufam Ci.  O Boże, o Boże, Panie mój, Nie pamiętaj, że czasem było źle. Wiesz dobrze, że zawsze jestem Twój  I że tylko Twoją drogą kroczyć chcę. ","When in a bright, calm, quiet night I look at the sky full of stars, Then I think, if this life makes sense and I call to You, our Father. Oh God, God, my Lord, Do not remember that sometimes it was bad. You know well that I am always Yours and that I want to follow you only. When in a life so full of disappointments Through sin, stones stumble, When peace sinks in a wave of plots, I look for you with every trembling of my soul. Oh God, God, my Lord, Do not remember that sometimes it was bad. You know well that I am always Yours and that I want to follow you only. The life of people runs along a winding road, Hen, the goal of my journey is up, And though my arms are sometimes lacking, I will come, I will come when I trust in You. Oh God, God, my Lord, Do not remember that sometimes it was bad. You know well that I am always Yours and that I want to follow you only."
Kiedyś wino i chleb," Kiedyś wino i chleb, teraz ciało i krew. Możesz wierzyć lub nie, to naprawdę dzieje się.   Ciągle czekasz na cud, niespokojny Twój duch, a ja przypomnę, że w ciszy i przy blasku świec  cud największy dzieje się.   Kiedyś wino i chleb, teraz ciało i krew. Możesz wierzyć lub nie, to naprawdę dzieje się.   Wypatrujesz co dnia, czekasz na jakiś znak, a ja przypomnę, że w ciszy i przy blasku świec  cud największy dzieje się. ","Once wine and bread, now the body and blood. You can believe it or not, it really happens. You are still waiting for a miracle, your mind is restless, and I will remind you that in the silence and the candlelight the greatest miracle happens. Once wine and bread, now the body and blood. You can believe it or not, it really happens. You look out every day, wait for a sign, and I will remind you that in the silence and the candlelight the greatest miracle happens."
