,Dzień tygodnia,Pierwsze czytanie,Psalm,Werset przed Ewangelią,Ewangelia
2019-01-31,Thursday,"Brothers and sisters: Since through the Blood of Jesus we have confidence of entrance into the sanctuary by the new and living way he opened for us through the veil, that is, his flesh,and since we have ""a great priest over the house of God,"" let us approach with a sincere heart and in absolute trust, with our hearts sprinkled clean from an evil conscience and our bodies washed in pure water.Let us hold unwaveringly to our confession that gives us hope, for he who made the promise is trustworthy.We must consider how to rouse one another to love and good works.We should not stay away from our assembly, as is the custom of some, but encourage one another, and this all the more as you see the day drawing near.","R.   Lord, this is the people that longs to see your face.The LORD's are the earth and its fullness;the world and those who dwell in it.For he founded it upon the seasand established it upon the rivers.R. Lord, this is the people that longs to see your face.Who can ascend the mountain of the LORD?or who may stand in his holy place?He whose hands are sinless, whose heart is clean,who desires not what is vain.R. Lord, this is the people that longs to see your face.He shall receive a blessing from the LORD,a reward from God his savior.Such is the race that seeks for him,that seeks the face of the God of Jacob.R. Lord, this is the people that longs to see your face.","R. Alleluia, alleluia.A lamp to my feet is your word,a light to my path.R. Alleluia, alleluia.","Jesus said to his disciples,""Is a lamp brought in to be placed under a bushel basketor under a bed,and not to be placed on a lampstand?For there is nothing hidden except to be made visible; nothing is secret except to come to light.Anyone who has ears to hear ought to hear.""He also told them, ""Take care what you hear.The measure with which you measure will be measured out to you, and still more will be given to you.To the one who has, more will be given; from the one who has not, even what he has will be taken away.""For the readings of the Memorial of Saint John Bosco, please go here."
2019-01-30,Wednesday,"Every priest stands daily at his ministry, offering frequently those same sacrifices that can never take away sins.But this one offered one sacrifice for sins, and took his seat forever at the right hand of God; now he waits until his enemies are made his footstool.For by one offering he has made perfect forever those who are being consecrated.The Holy Spirit also testifies to us, for after saying:This is the covenant I will establish with themafter those days, says the Lord:""I will put my laws in their hearts,and I will write them upon their minds,""he also says:Their sins and their evildoingI will remember no more.Where there is forgiveness of these, there is no longer offering for sin.","R.    You are a priest for ever, in the line of Melchizedek.The LORD said to my Lord: ""Sit at my right handtill I make your enemies your footstool.""R. You are a priest for ever, in the line of Melchizedek.The scepter of your power the LORD will stretch forth from Zion:""Rule in the midst of your enemies.""R. You are a priest for ever, in the line of Melchizedek.""Yours is princely power in the day of your birth, in holy splendor;before the daystar, like the dew, I have begotten you.""R. You are a priest for ever, in the line of Melchizedek.The LORD has sworn, and he will not repent:""You are a priest forever, according to the order of Melchizedek.""R. You are a priest for ever, in the line of Melchizedek.","R. Alleluia, alleluia.The seed is the word of God, Christ is the sower;all who come to him will live for ever.R. Alleluia, alleluia.","On another occasion, Jesus began to teach by the sea.A very large crowd gathered around him so that he got into a boat on the sea and sat down.And the whole crowd was beside the sea on land.And he taught them at length in parables, and in the course of his instruction he said to them, ""Hear this!  A sower went out to sow.And as he sowed, some seed fell on the path, and the birds came and ate it up.Other seed fell on rocky ground where it had little soil.It sprang up at once because the soil was not deep.And when the sun rose, it was scorched and it withered for lack of roots.  Some seed fell among thorns, and the thorns grew up and choked it and it produced no grain.And some seed fell on rich soil and produced fruit.It came up and grew and yielded thirty, sixty, and a hundredfold.""He added, ""Whoever has ears to hear ought to hear.""And when he was alone, those present along with the Twelve questioned him about the parables.He answered them, ""The mystery of the Kingdom of God has been granted to you.But to those outside everything comes in parables, so thatthey may look and see but not perceive,and hear and listen but not understand,in order that they may not be converted and be forgiven.""Jesus said to them, ""Do you not understand this parable?Then how will you understand any of the parables?The sower sows the word.These are the ones on the path where the word is sown.As soon as they hear, Satan comes at once and takes away the word sown in them.And these are the ones sown on rocky ground who, when they hear the word, receive it at once with joy.But they have no roots; they last only for a time.Then when tribulation or persecution comes because of the word, they quickly fall away.Those sown among thorns are another sort.They are the people who hear the word, but worldly anxiety, the lure of riches, and the craving for other things intrude and choke the word, and it bears no fruit.But those sown on rich soil are the ones who hear the word and accept itand bear fruit thirty and sixty and a hundredfold."""
2019-01-29,Tuesday,"Brothers and sisters:Since the law has only a shadow of the good things to come, and not the very image of them, it can never make perfect those who come to worship by the same sacrifices that they offer continually each year.Otherwise, would not the sacrifices have ceased to be offered, since the worshipers, once cleansed, would no longer have had any consciousness of sins?But in those sacrifices there is only a yearly remembrance of sins, for it is impossible that the blood of bulls and goats take away sins.For this reason, when he came into the world, he said:Sacrifice and offering you did not desire,but a body you prepared for me;in burnt offerings and sin offerings you took no delight.Then I said, As is written of me in the scroll,Behold, I come to do your will, O God.First he says, Sacrifices and offerings, burnt offerings and sin offerings,you neither desired nor delighted in.These are offered according to the law.Then he says, Behold, I come to do your will.He takes away the first to establish the second.By this ""will,"" we have been consecrated through the offering of the Body of Jesus Christ once for all.","R.   Here am I Lord; I come to do your will.I have waited, waited for the LORD,and he stooped toward me.And he put a new song into my mouth,a hymn to our God.R. Here am I Lord; I come to do your will.Sacrifice or oblation you wished not,but ears open to obedience you gave me.Burnt offerings or sin-offerings you sought not;then said I, ""Behold I come."" R. Here am I Lord; I come to do your will.I announced your justice in the vast assembly;I did not restrain my lips, as you, O LORD, know.R. Here am I Lord; I come to do your will.Your justice I kept not hid within my heart;your faithfulness and your salvation I have spoken of;I have made no secret of your kindness and your truthin the vast assembly.R. Here am I Lord; I come to do your will.","R. Alleluia, alleluia.Blessed are you, Father, Lord of heaven and earth;you have revealed to little ones the mysteries of the Kingdom.R. Alleluia, alleluia.","The mother of Jesus and his brothers arrived at the house.Standing outside, they sent word to Jesus and called him.A crowd seated around him told him,""Your mother and your brothers and your sistersare outside asking for you.""But he said to them in reply,""Who are my mother and my brothers?""And looking around at those seated in the circle he said,""Here are my mother and my brothers.For whoever does the will of Godis my brother and sister and mother."""
2019-01-28,Monday,"Christ is mediator of a new covenant:since a death has taken place for deliverance from transgressions under the first covenant, those who are called may receive the promised eternal inheritance.For Christ did not enter into a sanctuary made by hands, a copy of the true one, but heaven itself, that he might now appear before God on our behalf.Not that he might offer himself repeatedly, as the high priest enters each year into the sanctuary with blood that is not his own; if that were so, he would have had to suffer repeatedly from the foundation of the world.But now once for all he has appeared at the end of the ages to take away sin by his sacrifice.Just as it is appointed that human beings die once, and after this the judgment, so also Christ,offered once to take away the sins of many, will appear a second time, not to take away sin but to bring salvation to those who eagerly await him.","R.   Sing to the Lord a new song, for he has done marvelous deeds.Sing to the LORD a new song,for he has done wondrous deeds;His right hand has won victory for him,his holy arm.R. Sing to the Lord a new song, for he has done marvelous deeds.The LORD has made his salvation known:in the sight of the nations he has revealed his justice.He has remembered his kindness and his faithfulnesstoward the house of Israel.R. Sing to the Lord a new song, for he has done marvelous deeds.All the ends of the earth have seenthe salvation by our God.Sing joyfully to the LORD, all you lands;break into song; sing praise.R. Sing to the Lord a new song, for he has done marvelous deeds.Sing praise to the LORD with the harp,with the harp and melodious song.With trumpets and the sound of the hornsing joyfully before the King, the LORD.R. Sing to the Lord a new song, for he has done marvelous deeds.","R. Alleluia, alleluia.Our Savior Jesus Christ has destroyed deathand brought life to light through the Gospel.R. Alleluia, alleluia.","The scribes who had come from Jerusalem said of Jesus, ""He is possessed by Beelzebul,"" and""By the prince of demons he drives out demons.""Summoning them, he began to speak to them in parables, ""How can Satan drive out Satan?If a kingdom is divided against itself, that kingdom cannot stand.And if a house is divided against itself, that house will not be able to stand.And if Satan has risen up against himself and is divided, he cannot stand; that is the end of him.But no one can enter a strong man's house to plunder his property unless he first ties up the strong man.Then he can plunder his house.  Amen, I say to you, all sins and all blasphemies that people utter will be forgiven them.But whoever blasphemes against the Holy Spirit will never have forgiveness, but is guilty of an everlasting sin.""For they had said, ""He has an unclean spirit."" "
2019-01-27,Sunday,"Ezra the priest brought the law before the assembly,which consisted of men, women,and those children old enough to understand.Standing at one end of the open place that was before the Water Gate,he read out of the book from daybreak till midday,in the presence of the men, the women,and those children old enough to understand;and all the people listened attentively to the book of the law.Ezra the scribe stood on a wooden platform that had been made for the occasion.He opened the scrollso that all the people might see it— for he was standing higher up than any of the people —;and, as he opened it, all the people rose.Ezra blessed the LORD, the great God,and all the people, their hands raised high, answered, ""Amen, amen!""Then they bowed down and prostrated themselves before the LORD,their faces to the ground.Ezra read plainly from the book of the law of God,interpreting it so that all could understand what was read.Then Nehemiah, that is, His Excellency, and Ezra the priest-scribeand the Levites who were instructing the peoplesaid to all the people:""Today is holy to the LORD your God.Do not be sad, and do not weep""—for all the people were weeping as they heard the words of the law.He said further: ""Go, eat rich foods and drink sweet drinks,and allot portions to those who had nothing prepared;for today is holy to our LORD.Do not be saddened this day,for rejoicing in the LORD must be your strength!""","R.  Your words, Lord, are Spirit and life.The law of the LORD is perfect,refreshing the soul;The decree of the LORD is trustworthy,giving wisdom to the simple.R. Your words, Lord, are Spirit and life.The precepts of the LORD are right,rejoicing the heart;The command of the LORD is clear,enlightening the eye.R. Your words, Lord, are Spirit and life.The fear of the LORD is pure,enduring forever;The ordinances of the LORD are true,all of them just.R. Your words, Lord, are Spirit and life.Let the words of my mouth and the thought of my heartfind favor before you,O LORD, my rock and my redeemer.R. Your words, Lord, are Spirit and life.","Brothers and sisters:As a body is one though it has many parts,and all the parts of the body, though many, are one body,so also Christ.For in one Spirit we were all baptized into one body,whether Jews or Greeks, slaves or free persons,and we were all given to drink of one Spirit.Now the body is not a single part, but many.If a foot should say,""Because I am not a hand I do not belong to the body, ""it does not for this reason belong any less to the body.Or if an ear should say,""Because I am not an eye I do not belong to the body, ""it does not for this reason belong any less to the body.If the whole body were an eye, where would the hearing be?If the whole body were hearing, where would the sense of smell be?But as it is, God placed the parts,each one of them, in the body as he intended.If they were all one part, where would the body be?But as it is, there are many parts, yet one body.The eye cannot say to the hand, ""I do not need you, ""nor again the head to the feet, ""I do not need you.""Indeed, the parts of the body that seem to be weakerare all the more necessary,and those parts of the body that we consider less honorablewe surround with greater honor,and our less presentable parts are treated with greater propriety,whereas our more presentable parts do not need this.But God has so constructed the bodyas to give greater honor to a part that is without it,so that there may be no division in the body,but that the parts may have the same concern for one another.If one part suffers, all the parts suffer with it;if one part is honored, all the parts share its joy.Now you are Christ's body, and individually parts of it.Some people God has designated in the churchto be, first, apostles; second, prophets; third, teachers;then, mighty deeds;then gifts of healing, assistance, administration,and varieties of tongues.Are all apostles? Are all prophets? Are all teachers?Do all work mighty deeds? Do all have gifts of healing?Do all speak in tongues? Do all interpret?Or 1 Cor 12:12-14, 27Brothers and sisters:As a body is one though it has many parts,and all the parts of the body, though many, are one body,so also Christ.For in one Spirit we were all baptized into one body,whether Jews or Greeks, slaves or free persons,and we were all given to drink of one Spirit.Now the body is not a single part, but many.You are Christ's body, and individually parts of it.Alleluia Cf. Lk 4:18R. Alleluia, alleluia.The Lord sent me to bring glad tidings to the poor,and to proclaim liberty to captives.R. Alleluia, alleluia.","Since many have undertaken to compile a narrative of the eventsthat have been fulfilled among us,just as those who were eyewitnesses from the beginningand ministers of the word have handed them down to us,I too have decided,after investigating everything accurately anew,to write it down in an orderly sequence for you,most excellent Theophilus, so that you may realize the certainty of the teachingsyou have received.Jesus returned to Galilee in the power of the Spirit,and news of him spread throughout the whole region.He taught in their synagogues and was praised by all.He came to Nazareth, where he had grown up,and went according to his custom into the synagogue on the sabbath day.He stood up to read and was handed a scroll of the prophet Isaiah.He unrolled the scroll and found the passage where it was written:The Spirit of the Lord is upon me,because he has anointed me to bring glad tidings to the poor.He has sent me to proclaim liberty to captivesand recovery of sight to the blind,to let the oppressed go free,and to proclaim a year acceptable to the Lord.Rolling up the scroll, he handed it back to the attendant and sat down,and the eyes of all in the synagogue looked intently at him.He said to them,""Today this Scripture passage is fulfilled in your hearing."""
2019-01-26,Saturday,"Paul, an Apostle of Christ Jesus by the will of Godfor the promise of life in Christ Jesus,to Timothy, my dear child:grace, mercy, and peace from God the Fatherand Christ Jesus our Lord.I am grateful to God,whom I worship with a clear conscience as my ancestors did,as I remember you constantly in my prayers, night and day.I yearn to see you again, recalling your tears,so that I may be filled with joy,as I recall your sincere faiththat first lived in your grandmother Loisand in your mother Euniceand that I am confident lives also in you.For this reason, I remind you to stir into flamethe gift of God that you have through the imposition of my hands.For God did not give us a spirit of cowardicebut rather of power and love and self-control.So do not be ashamed of your testimony to our Lord,nor of me, a prisoner for his sake;but bear your share of hardship for the Gospelwith the strength that comes from God.or Ti 1:1-5","Responsorial Psalm Ps 96:1-2a, 2b-3, 7-8a, 10R.  Proclaim God's marvelous deeds to all the nations.Sing to the LORD a new song;sing to the LORD, all you lands.Sing to the LORD; bless his name.R. Proclaim God's marvelous deeds to all the nations.Announce his salvation, day after day.Tell his glory among the nations;among all peoples, his wondrous deeds.R. Proclaim God's marvelous deeds to all the nations.Give to the LORD, you families of nations,give to the LORD glory and praise;give to the LORD the glory due his name!R. Proclaim God's marvelous deeds to all the nations.Say among the nations: The LORD is king.He has made the world firm, not to be moved;he governs the peoples with equity.R. Proclaim God's marvelous deeds to all the nations.","Alleluia See Acts 16:14bR. Alleluia, alleluia.Open our hearts, O Lord,to listen to the words of your Son.R. Alleluia, alleluia.","Gospel Mk 3:20-21Jesus came with his disciples into the house.Again the crowd gathered,making it impossible for them even to eat.When his relatives heard of this they set out to seize him, for they said, ""He is out of his mind."" For the readings of the Memorial of Saints Timothy and Titus, please go here."
2019-01-25,Friday,"Paul addressed the people in these words:""I am a Jew, born in Tarsus in Cilicia,but brought up in this city.At the feet of Gamaliel I was educated strictly in our ancestral lawand was zealous for God, just as all of you are today.I persecuted this Way to death,binding both men and women and delivering them to prison.Even the high priest and the whole council of elderscan testify on my behalf.For from them I even received letters to the brothersand set out for Damascus to bring back to Jerusalemin chains for punishment those there as well.""On that journey as I drew near to Damascus,about noon a great light from the sky suddenly shone around me.I fell to the ground and heard a voice saying to me,'Saul, Saul, why are you persecuting me?'I replied, 'Who are you, sir?'And he said to me,'I am Jesus the Nazorean whom you are persecuting.'My companions saw the lightbut did not hear the voice of the one who spoke to me.I asked, 'What shall I do, sir?'The Lord answered me, 'Get up and go into Damascus,and there you will be told about everythingappointed for you to do.' Since I could see nothing because of the brightness of that light,I was led by hand by my companions and entered Damascus.""A certain Ananias, a devout observer of the law,and highly spoken of by all the Jews who lived there,came to me and stood there and said,'Saul, my brother, regain your sight.'And at that very moment I regained my sight and saw him.Then he said,'The God of our ancestors designated you to know his will,to see the Righteous One, and to hear the sound of his voice;for you will be his witness before allto what you have seen and heard.Now, why delay?Get up and have yourself baptized and your sins washed away,calling upon his name.'""Or Acts 9:1-22Saul, still breathing murderous threats against the disciples of the Lord,went to the high priest and asked himfor letters to the synagogues in Damascus, that,if he should find any men or women who belonged to the Way,he might bring them back to Jerusalem in chains.On his  journey, as he was nearing Damascus,a light from the sky suddenly flashed around him.He fell to the ground and heard a voice saying to him,""Saul, Saul, why are you persecuting me?""He said, ""Who are you, sir?""The reply came, ""I am Jesus, whom you are persecuting.Now get up and go into the city and you will be told what you must do."" The men who were traveling with him stood speechless,for they heard the voice but could see no one.Saul got up from the ground,but when he opened his eyes he could see nothing;so they led him by the hand and brought him to Damascus.For three days he was unable to see, and he neither ate nor drank.There was a disciple in Damascus named Ananias,and the Lord said to him in a vision, AAnanias.""He answered, ""Here I am, Lord.""The Lord said to him, ""Get up and go to the street called Straightand ask at the house of Judas for a man from Tarsus named Saul. He is there praying,and in a vision he has seen a man named Ananiascome in and lay his hands on him,that he may regain his sight.""But Ananias replied,""Lord, I have heard from many sources about this man,what evil things he has done to your holy ones in Jerusalem.And here he has authority from the chief prieststo imprison all who call upon your name.""But the Lord said to him,""Go, for this man is a chosen instrument of mineto carry my name before Gentiles, kings, and children of Israel,and I will show him what he will have to suffer for my name.""So Ananias went and entered the house;laying his hands on him, he said,""Saul, my brother, the Lord has sent me,Jesus who appeared to you on the way by which you came,that you may regain your sight and be filled with the Holy Spirit.""Immediately things like scales fell from his eyesand he regained his sight.He got up and was baptized,and when he had eaten, he recovered his strength.He stayed some days with the disciples in Damascus,and he began at once to proclaim Jesus in the synagogues,that he is the Son of God.All who heard him were astounded and said, ""Is not this the man who in Jerusalemravaged those who call upon this name,and came here expressly to take them back in chainsto the chief priests?""But Saul grew all the strongerand confounded the Jews who lived in Damascus,proving that this is the Christ.","R.   Go out to all the world, and tell the Good News.or:R. Alleluia, alleluia.Praise the LORD, all you nations;glorify him, all you peoples!R.  Go out to all the world, and tell the Good News.or:R. Alleluia, alleluia.For steadfast is his kindness toward us,and the fidelity of the LORD endures forever.R. Go out to all the world, and tell the Good News.or:R. Alleluia, alleluia.","R. Alleluia, alleluia.I chose you from the world,to go and bear fruit that will last, says the Lord.R. Alleluia, alleluia.","Jesus appeared to the Eleven and said to them:""Go into the whole worldand proclaim the Gospel to every creature.Whoever believes and is baptized will be saved;whoever does not believe will be condemned.These signs will accompany those who believe:in my name they will drive out demons,they will speak new languages.They will pick up serpents with their hands,and if they drink any deadly thing, it will not harm them.They will lay hands on the sick, and they will recover."" "
2019-01-24,Thursday,"Jesus is always able to save those who approach God through him,since he lives forever to make intercession for them.It was fitting that we should have such a high priest: holy, innocent, undefiled, separated from sinners, higher than the heavens.He has no need, as did the high priests, to offer sacrifice day after day,first for his own sins and then for those of the people; he did that once for all when he offered himself.For the law appoints men subject to weakness to be high priests, but the word of the oath, which was taken after the law, appoints a son, who has been made perfect forever.The main point of what has been said is this: we have such a high priest, who has taken his seat at the right hand of the throneof the Majesty in heaven, a minister of the sanctuary and of the true tabernacle that the Lord, not man, set up.Now every high priest is appointed to offer gifts and sacrifices; thus the necessity for this one also to have something to offer.If then he were on earth, he would not be a priest, since there are those who offer gifts according to the law.They worship in a copy and shadow of the heavenly sanctuary,as Moses was warned when he was about to erect the tabernacle.For God says, ""See that you make everything according to the pattern shown you on the mountain.""Now he has obtained so much more excellent a ministry as he is mediator of a better covenant, enacted on better promises.","R.   Here am I, Lord; I come to do your will.Sacrifice or oblation you wished not,but ears open to obedience you gave me.Burnt offerings or sin-offerings you sought not;then said I, ""Behold I come.""R. Here am I, Lord; I come to do your will.""In the written scroll it is prescribed for me,To do your will, O my God, is my delight,and your law is within my heart!""R. Here am I, Lord; I come to do your will.I announced your justice in the vast assembly;I did not restrain my lips, as you, O LORD, know. R. Here am I, Lord; I come to do your will.May all who seek youexult and be glad in you,And may those who love your salvationsay ever, ""The LORD be glorified.""R. Here am I, Lord; I come to do your will.","R. Alleluia, alleluia.Our Savior Jesus Christ has destroyed deathand brought life to light through the Gospel.R. Alleluia, alleluia.","Jesus withdrew toward the sea with his disciples.A large number of people followed from Galilee and from Judea.Hearing what he was doing, a large number of people came to him also from Jerusalem, from Idumea, from beyond the Jordan, and from the neighborhood of Tyre and Sidon.He told his disciples to have a boat ready for him because of the crowd, so that they would not crush him.He had cured many and, as a result, those who had diseaseswere pressing upon him to touch him.And whenever unclean spirits saw him they would fall down before him and shout, ""You are the Son of God.""He warned them sternly not to make him known.For the readings of the Memorial of Saint Francis de Sales, please go here."
2019-01-23,Wednesday,"Melchizedek, king of Salem and priest of God Most High,met Abraham as he returned from his defeat of the kingsand blessed him.And Abraham apportioned to him a tenth of everything.His name first means righteous king,and he was also ""king of Salem,"" that is, king of peace.Without father, mother, or ancestry,without beginning of days or end of life,thus made to resemble the Son of God, he remains a priest forever.It is even more obvious if another priest is raised upafter the likeness of Melchizedek, who has become so,not by a law expressed in a commandment concerning physical descentbut by the power of a life that cannot be destroyed.For it is testified:You are a priest forever according to the order of Melchizedek.","R.   You are a priest for ever, in the line of Melchizedek.The LORD said to my Lord: ""Sit at my right handtill I make your enemies your footstool.""R. You are a priest for ever, in the line of Melchizedek.The scepter of your power the LORD will stretch forth from Zion:""Rule in the midst of your enemies.""R. You are a priest for ever, in the line of Melchizedek.""Yours is princely power in the day of your birth, in holy splendor;before the daystar, like the dew, I have begotten you.""R. You are a priest for ever, in the line of Melchizedek.The LORD has sworn, and he will not repent:""You are a priest forever, according to the order of Melchizedek.""R. You are a priest for ever, in the line of Melchizedek.","R. Alleluia, alleluia.Jesus preached the Gospel of the Kingdomand cured every disease among the people.R. Alleluia, alleluia.","Jesus entered the synagogue.There was a man there who had a withered hand.They watched Jesus closelyto see if he would cure him on the sabbathso that they might accuse him.He said to the man with the withered hand,""Come up here before us.""Then he said to the Pharisees,""Is it lawful to do good on the sabbath rather than to do evil,to save life rather than to destroy it?""But they remained silent.Looking around at them with angerand grieved at their hardness of heart,Jesus said to the man, ""Stretch out your hand.""He stretched it out and his hand was restored.The Pharisees went out and immediately took counselwith the Herodians against him to put him to death."
2019-01-22,Tuesday,"Brothers and sisters:God is not unjust so as to overlook your workand the love you have demonstrated for his nameby having served and continuing to serve the holy ones.We earnestly desire each of you to demonstrate the same eagernessfor the fulfillment of hope until the end,so that you may not become sluggish, but imitators of those who,through faith and patience, are inheriting the promises.When God made the promise to Abraham,since he had no one greater by whom to swear, he swore by himself,and said, I will indeed bless you and multiply you.And so, after patient waiting, Abraham obtained the promise.Now, men swear by someone greater than themselves;for them an oath serves as a guaranteeand puts an end to all argument.So when God wanted to give the heirs of his promisean even clearer demonstration of the immutability of his purpose,he intervened with an oath,so that by two immutable things,in which it was impossible for God to lie,we who have taken refuge might be strongly encouragedto hold fast to the hope that lies before us.This we have as an anchor of the soul,sure and firm, which reaches into the interior behind the veil,where Jesus has entered on our behalf as forerunner,becoming high priest foreveraccording to the order of Melchizedek.","R.   The Lord will remember his covenant for ever.or:R. Alleluia.I will give thanks to the LORD with all my heartin the company and assembly of the just.Great are the works of the LORD,exquisite in all their delights.R.  The Lord will remember his covenant for ever.or:R. Alleluia.He has won renown for his wondrous deeds;gracious and merciful is the LORD.He has given food to those who fear him;he will forever be mindful of his covenant.R. The Lord will remember his covenant for ever.or:R. Alleluia.He has sent deliverance to his people;he has ratified his covenant forever;holy and awesome is his name.His praise endures forever.R. The Lord will remember his covenant for ever.or:R.  Alleluia.","R. Alleluia, alleluia.May the Father of our Lord Jesus Christenlighten the eyes of our hearts,that we may know what is the hopethat belongs to our call.R. Alleluia, alleluia.","As Jesus was passing through a field of grain on the sabbath,his disciples began to make a path while picking the heads of grain.At this the Pharisees said to him,""Look, why are they doing what is unlawful on the sabbath?""He said to them,""Have you never read what David didwhen he was in need and he and his companions were hungry?How he went into the house of God when Abiathar was high priestand ate the bread of offering that only the priests could lawfully eat,and shared it with his companions?""Then he said to them,""The sabbath was made for man, not man for the sabbath.That is why the Son of Man is lord even of the sabbath.""For the readings of the Day of Prayer for the Legal Protection of Unborn Children, please go here."
2019-01-21,Monday,"Brothers and sisters:Every high priest is taken from among menand made their representative before God,to offer gifts and sacrifices for sins.He is able to deal patiently with the ignorant and erring,for he himself is beset by weaknessand so, for this reason, must make sin offerings for himselfas well as for the people.No one takes this honor upon himselfbut only when called by God,just as Aaron was.In the same way,it was not Christ who glorified himself in becoming high priest,but rather the one who said to him:You are my Son:this day I have begotten you;just as he says in another place,You are a priest foreveraccording to the order of Melchizedek.In the days when he was in the Flesh,he offered prayers and supplications with loud cries and tearsto the one who was able to save him from death,and he was heard because of his reverence.Son though he was, he learned obedience from what he suffered;and when he was made perfect,he became the source of eternal salvation for all who obey him.","R.  You are a priest for ever, in the line of Melchizedek.The LORD said to my Lord: ""Sit at my right handtill I make your enemies your footstool.""R. You are a priest for ever, in the line of Melchizedek.The scepter of your power the LORD will stretch forth from Zion:""Rule in the midst of your enemies.""R. You are a priest for ever, in the line of Melchizedek.""Yours is princely power in the day of your birth, in holy splendor;before the daystar, like the dew, I have begotten you.""R. You are a priest for ever, in the line of Melchizedek.The LORD has sworn, and he will not repent:""You are a priest forever, according to the order of Melchizedek.""R. You are a priest for ever, in the line of Melchizedek.","R. Alleluia, alleluia.The word of God is living and effective,able to discern reflections and thoughts of the heart.R. Alleluia, alleluia.","The disciples of John and of the Pharisees were accustomed to fast.People came to Jesus and objected,""Why do the disciples of John and the disciples of the Pharisees fast, but your disciples do not fast?""Jesus answered them,""Can the wedding guests fast while the bridegroom is with them?As long as they have the bridegroom with them they cannot fast.But the days will come when the bridegroom is taken away from them,and then they will fast on that day.No one sews a piece of unshrunken cloth on an old cloak.If he does, its fullness pulls away,the new from the old, and the tear gets worse.Likewise, no one pours new wine into old wineskins.Otherwise, the wine will burst the skins,and both the wine and the skins are ruined.Rather, new wine is poured into fresh wineskins.""For the readings of the Memorial of Saint Agnes, please go here."
2019-01-20,Sunday,"For Zion's sake I will not be silent,for Jerusalem's sake I will not be quiet,until her vindication shines forth like the dawnand her victory like a burning torch.Nations shall behold your vindication,and all the kings your glory;you shall be called by a new namepronounced by the mouth of the LORD.You shall be a glorious crown in the hand of the LORD,a royal diadem held by your God.No more shall people call you ""Forsaken, ""or your land ""Desolate, ""but you shall be called ""My Delight, ""and your land ""Espoused.""For the LORD delights in youand makes your land his spouse.As a young man marries a virgin,your Builder shall marry you;and as a bridegroom rejoices in his brideso shall your God rejoice in you.","R.  Proclaim his marvelous deeds to all the nations.Sing to the LORD a new song;sing to the LORD, all you lands.Sing to the LORD; bless his name.R. Proclaim his marvelous deeds to all the nations.Announce his salvation, day after day.Tell his glory among the nations; among all peoples, his wondrous deeds.R. Proclaim his marvelous deeds to all the nations.Give to the LORD, you families of nations,give to the LORD glory and praise; give to the LORD the glory due his name! R. Proclaim his marvelous deeds to all the nations.Worship the LORD in holy attire.Tremble before him, all the earth;Say among the nations: The LORD is king.He governs the peoples with equity.R. Proclaim his marvelous deeds to all the nations.","Brothers and sisters:There are different kinds of spiritual gifts but the same Spirit; there are different forms of service but the same Lord;there are different workings but the same Godwho produces all of them in everyone.To each individual the manifestation of the Spiritis given for some benefit.To one is given through the Spirit the expression of wisdom;to another, the expression of knowledge according to thesame Spirit;to another, faith by the same Spirit;to another, gifts of healing by the one Spirit;to another, mighty deeds;to another, prophecy;to another, discernment of spirits;to another, varieties of tongues;to another, interpretation of tongues.But one and the same Spirit produces all of these,distributing them individually to each person as he wishes.","Gospel Jn 2:1-11There was a wedding at Cana in Galilee,and the mother of Jesus was there.Jesus and his disciples were also invited to the wedding.When the wine ran short,the mother of Jesus said to him,""They have no wine.""And Jesus said to her,""Woman, how does your concern affect me?My hour has not yet come.""His mother said to the servers,""Do whatever he tells you.""Now there were six stone water jars there for Jewish ceremonial washings,each holding twenty to thirty gallons.Jesus told them,""Fill the jars with water.""So they filled them to the brim.Then he told them,""Draw some out now and take it to the headwaiter.""So they took it.And when the headwaiter tasted the water that had become wine,without knowing where it came from— although the servers who had drawn the water knew —,the headwaiter called the bridegroom and said to him,""Everyone serves good wine first,and then when people have drunk freely, an inferior one;but you have kept the good wine until now.""Jesus did this as the beginning of his signs at Cana in Galileeand so revealed his glory,and his disciples began to believe in him. "
