,Ewangelia
2018-11-02,"It was already about six o'clock and darkness enveloped the whole land until the ninth hour. The sun was darkened and the veil of the temple was torn in the middle. Then Jesus cried with a loud voice: ""Father, into Your hands I entrust my spirit."" After these words he gave up his spirit. There was a good and just man there, named Joseph, a member of the High Council. He went to Pilate and asked for the body of Jesus. He took it off the cross, wrapped it in the canvas, and laid it in a grave carved into the rock in which no one had been buried yet. On the first day of the week went the dawn to the grave, carrying the prepared fragrances. The stone from the grave was moved away. And since they came in, they did not find the body of Jesus. When, therefore, they were helpless, suddenly two men in shimmering robes stood before them. Frightened, they bowed their faces to the ground, but they said to them, ""Why do you seek the living among the dead? He is not here, he is risen""."
2018-11-01,"Jesus, seeing the crowds, went upstairs. And when he sat down, his disciples came to him. Then he opened his mouth and taught them with these words: ""Blessed are the poor in spirit, for theirs is the kingdom of heaven, blessed are they that mourn, for they shall be comforted, blessed, for they shall possess the land, Blessed are those that hunger and thirst. Justice, for they will be filled, blessed are the merciful, for they will receive mercy, blessed are the pure of heart, for they will see God, blessed are those who bring peace, for they will be called sons of God, blessed are those who suffer persecution for righteousness, for they belong to them the kingdom of heaven, Blessed are you, when people reproach and persecute you, and when they speak falsely all evil on you for my sake, rejoice and rejoice, for your reward is great in heaven. """
2018-10-31,"Jesus traveled through cities and villages, teaching and taking his journey to Jerusalem. Once someone asked him, ""Lord, are only few who will be saved?"" He said to them, ""Try to enter through a narrow door, for many, I say to you, will want to enter, and they will not be able."" When the Lord of the house stands up and the door closes, then, standing outside, you will knock on the door and cry out, ""Lord, open to us! "", but He will answer you,"" I do not know where you are from. ""Then you will say,"" We ate and drank with You, and taught on our streets. ""He said:"" I tell you, I do not know where you are from. Get away from me all who commit injustice! ""There will be weeping and gnashing of teeth when you see Abraham, Isaac and Jacob, and all the prophets in the kingdom of God, and themselves outcasts. They will come from the east and west, from the north and south and they sit behind the table in the kingdom of God, so they are the last to be the first, and they are the first who will be the last. """
2018-10-30,"Jesus said, ""What is the kingdom of God like, and what should I compare with it?"" It is similar to the mustard seed that someone took and sowed in his garden, it grew and became a great tree, so that the birds of the sky nestled on its branches. "" And he went on: ""What is the kingdom of God to compare to?"" It is similar to the leaven that a woman took and put in three measures of flour until everything was leaven. """
2018-10-29,"Jesus taught on the Sabbath in one of the synagogues. And there was a woman who had a spirit of infirmity for eighteen years: she was bent and could not straighten herself in any way. When Jesus saw her, he called her and said to her, ""Woman, you are free from your powerlessness."" He put his hands on her, and immediately straightened up and praised God. But the ruler of the synagogue, indignant at the fact that Jesus healed on the Sabbath, said to the people: ""There are six days to work. In these then come and heal, and not on the Sabbath day. "" The Lord replied to him, ""Hypocrites, do not any of you unbutton an ox or donkey from the manger and lead him to drink it? And the daughter of Abraham, which satan was eighteen years captivated, should not have been freed from these ties on the Sabbath day? ""To these words, all his enemies were shamed, and all the people enjoyed all the wonderful deeds accomplished by him."
2018-10-28,"When Jesus and his disciples and a large crowd left Jericho, a blind beggar, Bartimaeus, son of Timisoara, sat by the roadside. And when he heard that this was Jesus of Nazareth, he began to cry out, ""Jesus, Son of David, have mercy on me!"" Many have been urging him to remain silent. But he cried out more loudly: ""Son of David, have mercy on me!"" Jesus paused and said, ""Call him."" And they called the blind man, saying to him, ""Be well, stand up, call you."" He threw off his coat, jumped to his feet and came to Jesus. And Jesus said to him, ""What do you want me to do to you?"" He told the blind man: ""Rabbon, let me see."" Jesus said to him, ""Go, your faith has healed you."" He immediately saw and followed him along the path."
2018-10-27,"At that time some people came and told Jesus about the Galileans whose blood Pilate mixed with the blood of their victims. Jesus said to them, ""Do you think that these Galileans were greater sinners than the other inhabitants of Galilee, that they did suffer?"" I say to you, but if you do not convert, you will all die like that, or you think that the eighteen on which the tower fell in Siloam, and killed them, they were greater guilty than the other inhabitants of Jerusalem, not at all, I say to you, but if you do not convert, you will all perish in the same way. "" And he told them the following parable: ""A man had a fig tree planted in his vineyard, he came and sought fruit, but found none, and he said to the gardener,"" This is three years since I come and seek fruit in this fig tree, and I do not find it Cut him out, why is he going to sterilize the land? ""But he said to him,"" Lord, leave him this year until I dig and fertilize him, and he can bear fruit, and if not, you can cut him in the future. """
2018-10-26,"Jesus said to the crowds, ""When you see a cloud rising in the west, you immediately say:"" The rain is coming. ""And when the wind blows from the south, you say:"" It will be hot. ""And sometimes. and heaven, and how you do not recognize the present moment, and why do you not distinguish yourself from what is right? When you go to power with your opponent, try to agree with him that he will not take you to the judge; the judge would hand over you to the caretaker, and the caretaker would put you in jail, I will tell you, you will not leave from there until you return the last money. """
2018-10-25,"Jesus said to his disciples, ""I have come down to throw fire on the earth, and how I long for it to burn, I am to receive baptism and what anguish it may be, do you think that I have come to give peace to the earth? From now on, five will be divided in one house: three against two, two against three, father against son, son against father, mother against daughter, daughter against mother, mother-in-law against daughter-in-law and daughter-in-law against mother-in-law. """
2018-10-24,"Jesus said to his disciples, ""You understand that if the host knew what time a thief would come, he would not let his house break in. You too should be ready, for at the hour you do not guess, the Son of Man will come."" Then Peter asked: ""Lord, do you speak to us this parable or to everyone?"" The Lord replied, ""Who is this faithful and wise ruler, whom the master will establish over his service, that he will give her food at the right time?"" Happy is the servant whom the lord, returning, will find in this activity, I am truly telling you: He will put him on all his But if that servant says in his heart: My lord relentlessly, and the servants and servants will beat, and at the same time eat, drink and get drunk, then the master of this servant will come on the day when he does not expect and at an hour whom he does not know, will punish him severely and appoint him a place with unbelievers, and the servant who knows his master's will, who has not prepared anything and done according to his will, will receive a great whipping, and he who did not know his will, he has done something worthy of punishment, he will receive a little flogging, for whom much has been given, much will be required of it, and to whom many have been entrusted, the more they will demand of him. """
2018-10-23,"Jesus said to his disciples, ""Let your loins be girded and lighted, and ye shall be like men waiting for their master, when he shall return from the marriage feast, that he may open at once, when he come, and the meeklings, happy servants whom ye shall see. Verily, I say unto you, He shall give in to food, and make them sit down at the table, and shall he serve them when they walk, and shall they be happy about the second or third guard, when they shall find it. """
2018-10-22,"Someone from the crowd said to Jesus, ""Teacher, tell my brother to share his leg with me."" But he answered him, ""Man, who has made me a judge or a mediator over you?"" He also said to them: ""Take heed and beware of all greed, for even if one has everything in abundance, his life does not depend on his possessions."" And he told them the parable: ""A wealthy man was good for the field."" And he considered himself: ""What can I do here?"" I said, ""I will do this: I will destroy my granaries and build more and I will gather all my And I say to myself: You have great goods, for many years to be composed, rest, eat, drink and use! ""But God said to him,"" Fool, they will demand your soul from you tonight, so who will get what? you prepared? "" This is what happens to everyone who collects treasures for themselves, and is not rich with God. """
2018-10-21,"James and John, the sons of Zebedee, came to Jesus and said, ""Teacher, we want you to do what we ask of you."" He asked them: ""What do you want me to do to you?"" They said to Him, ""Let us glorify in Your glory one on the right and the other on Your left."" Jesus said to them, ""You do not know what you are asking, can you drink the cup that I am about to drink, or receive the baptism that I am to be baptized with?"" They answered Him, ""We can."" But Jesus said to them, ""The cup that I am to drink, you will drink, and the baptism that I am to receive, you will also receive, but not me, place it on my right or left side, but it will get it, for which it was prepared. "" When the ten others heard it, they began to resent Jacob and John. And Jesus called them to him and said to them, ""You know that those who are rulers of nations oppress them, and their great ones let them feel their power. And let him be your servant, and he who would be the first among you, let him be a slave of everyone, because the Son of Man did not come to be served, but to serve and give his life as a ransom for many. """
2018-10-20,"Jesus said to his disciples, ""Whoever confesses me to people will acknowledge the Son of man to him in the presence of angels of God, and whoever will deny Me to people, I will deny myself and God's angels to anyone who will say a word against it. For the Son of Man, he will be forgiven, but he who will blaspheme against the Holy Spirit will not be forgiven, when you will be dragged down by synagogues, offices and authorities, do not worry how or what you must defend or speak, because the Holy Spirit will instruct you you at this very hour, what to say. """
2018-10-19,"When the great crowds gathered near Jesus, so that some were pushing on others, he began to speak to his disciples first: ""Beware of the acid, that is, the hypocrisy of the Pharisees, for there is nothing hidden that will not be revealed or anything secret, Therefore, everything that you have said in the dark, in the light will be heard, and what in the room you whispered in your ear will be preached on the roofs. And I tell you my friends: Do not be afraid of those who kill the body, and then I can show you no more, fear him who, after killing, has the power to put him in Hell Yes, I say to you: Do not be afraid, do not they sell five sparrows for two aces? of them is not forgotten in the sight of God, and in you even the hairs are all numbered, do not be afraid: you are more important than many sparrows. """
2018-10-18,"From among his disciples, the Lord appointed another seventy-two, and sent them two by two in front of him to each city and town where he intended to come. He also said to them, ""The harvest is great, but the laborers are few: ask the Lord of the harvest to send out laborers into his harvest. Go, I send you like sheep among the wolves, carry no purse or bag, no sandals, no one When you enter a home, first say: ""Peace to this house!"" If a man of peace lives there, your peace will rest upon him, if not he will come back to you, stay in the same house, eat and drink what they have: because the laborer deserves his payment, do not go home from home If you come to a city and accept you, eat what they give you, heal the sick who are there and tell them, ""The kingdom of God has come closer to you"" ."
2018-10-17,"Jesus said: ""Woe to you, Pharisees, for you tithe mint and rue, and of all vegetables, and you pass over justice and God's love."" Meanwhile, this should have been done, and not forgotten by the wretch, ""Woe to you, Pharisees, because you like first place in synagogues and greetings in the market, woe to you, because you are like invisible graves, after which people unknowingly pass. "" Then one of the scholars in the law said to him: ""Master, you insult us with these words."" He replied: ""And to you, learned in the law, woe! For you put on loads of unbearable burdens, and even with one finger of those burdens you do not touch. """
2018-10-16,"A Pharisee invited Jesus to his place for dinner. So he went and took a seat at the table. But the Pharisee, seeing this, expressed astonishment that he had not washed his hands before the meal. The Lord said to him, ""You, Pharisees, take care of the purity of the outer side of the cup and the bowl, and your interior is full of extortion and wickedness."" That is why the Creator of the outer side has not made interior too much, rather give what is inside, for charity, and soon everything will be clean for you. """
2018-10-15,"When the crowds gathered, Jesus began to say, ""This tribe is a perverse tribe, He demands a sign, but no sign will be given to him except the sign of Jonas."" For as Jonah became a sign to the Ninevites, so will the Son of Man be for this tribe. from the south he shall rise up against the people of this tribe, and condemn them, because she came to hear the wisdom of Solomon from the ends of the earth, and here is something more than Solomon: the people of Nineveh will rise up against the tribe and condemn them, because they are called by Jonah they have been converted, and here is something more than Jonah. """
2018-10-14,"When Jesus went on his way, a man came running up and fell on His knees before Him, He began to ask Him, ""Master, what shall I do to accomplish eternal life?"" Jesus said to him, ""Why do you call me good? No one is good, only God Himself. You know the commandments: Do not kill, do not commit adultery, do not steal, do not testify falsely, do not cheat, honor your father and mother."" He answered: ""Master, I have kept all this from my youth."" Jesus then looked at him with love and said to him, ""One is lacking, go, sell all that you have, and give to the poor, and you will have treasure in heaven. Then come and follow me."" But he frowned at these words and went away saddened, for he had many possessions. Jesus then looked around and said to his disciples: ""How difficult it is for those who have abundance to enter the kingdom of God."" Students were dismayed His words, but Jesus said to them again, ""Children, how hard it is to enter the kingdom of God to those who put their trust in riches. It is easier for a camel to go through the eye of a needle than for a rich man to enter the kingdom of God."" And they were more surprised and said among themselves, ""Who then can be saved?"" Jesus looked at them and said, ""It is impossible for people, but not for God, because everything is possible with God."" Then Peter began to say to Him, ""Here we have left everything and followed You."" Jesus answered, ""Truly, I say to you: No one has left house or brothers or sisters or mother or father or children or fields for my sake and for the Gospel, will not receive a hundredfold now in this time, houses, brothers, sisters, mothers , children and fields, among persecutions, and eternal life in the future. """
2018-10-13,"When Jesus spoke, a woman from the crowd shouted loudly to him, ""Blessed is the womb that bore you and the breasts that you sucked."" But he said, ""Yes, blessed are those who hear the word of God and obey it."""
2018-10-12,"When Jesus cast out the evil spirit, some of the crowd said, ""By the power of Beelzebub, the ruler of evil spirits, he casteth out demons."" Others, wanting to put him to the test, demanded a sign from heaven, but he, knowing their thoughts, said to them: ""Every kingdom that is divided against itself is emptying, and the house of the house is falling apart. So if Satan is divided against himself, how will his kingdom stand? For you say that through Beelzebub I cast out demons. But if I cast out evil spirits with the power of Beelzebub, whose power is thrown out by your sons? That's why they will be your judges. And if I, by the finger of God, cast out demons, then the Kingdom of God has indeed come to you. When an armed man guarding his court, his property is safe. But when a stronger one comes to him and defeats him, he will take all his weapons on which he relies, and give him his spoils. Whoever is not with me is against me; and whoever does not gather with Me, he dissipates. When an unclean spirit leaves a human being, he wanders around anhydrous places, seeking rest. And when he does not find him, he says: ""I will return to my home from where I left."" He comes and finds him swept and garnished. Then he goes and takes seven other spirits, more malicious than himself; they come in and live there. And the later state of this man becomes worse than the previous one. """
2018-10-11,"Jesus said to his disciples, ""Some of you, having a friend, will go to him at midnight and say to him,"" Friend, borrow three breads for me, because my friend came to me and I have nothing to give him. "" he answers from within: ""Do not bother me!"" The door is now closed and my children are in bed with me, I can not get up and give you. ""I say to you, even if he did not get up and give him his friend, because of his obsession he will rise and give him what he needs, and I say to you: Ask and it will be given to you, seek, and you will find, knock, and it will be opened to you, for everyone who asks receives, whoever seeks, finds; If one of you fathers asks for bread, will he give him a stone, or for a fish, will he give him a snake instead of a fish, or if he asks for an egg, will he give him a scorpion? you are, you can give good gifts to your children, t how much more will the Father of heaven give the Holy Spirit to those who ask him. """
2018-10-10,"Jesus, being in a place, prayed, and when he finished, one of the disciples said to him, ""Lord, teach us how to pray, just as John taught his disciples."" And he said to them, ""When you pray, say, Father, let your name be holy, let your kingdom come, give us our daily bread for each day and forgive us our sins, for we also forgive everyone who against us and let us not succumb to temptation. """
2018-10-09,"Jesus came to one village. There a certain woman named Martha welcomed him in her home. She had a sister, named Mary, who sat at the feet of the Lord and listened to His word. Marta, on the other hand, was busy around various services. And standing with him, she said, ""Lord, is it indifferent to me that my sister left me alone in the ministry? Tell her to help me."" And the Lord said to her: ""Martha, Martha, you are worried and worried about much, but you need little or only one, Maria has chosen the best part that will not be lost."""
2018-10-08,"A scholar in the law arose and put Jesus to the test, he asked: ""Teacher, what shall I do to gain eternal life?"" Jesus replied to him: ""What is written in the law? How do you read?"" He said, ""You shall love the Lord your God with all your heart, with all your soul, with all your strength and with all your mind, and with your neighbor as yourself."" Jesus said to him, ""You answered well, do this and you will live."" But he, wanting to justify himself, asked Jesus: ""Who is my neighbor?"" Jesus, referring to this, said: ""A certain man descended from Jerusalem to Jericho and fell into the hands of robbers, who not only robbed him, but also wounded him and left him dead, and departed, by chance a certain priest passed by; Likewise, when he came to this place and saw him, he passed by, and a Samaritan, wandering, also came to this place, and when he saw him, he was deeply moved: he came to him and healed his wounds, pouring them in oil and oil. The next day he took out two denarii, gave the host, and said, ""Have it, and if you spend more, I will give it to you when I come back."" of these three, in your opinion, turned out to be his neighbor who fell into the hands of robbers? "" He replied, ""He who showed him mercy."" Jesus said to him, ""Go and do likewise!"""
2018-10-07,"The Pharisees came to Jesus and, wanting to put him to the test, asked him if he was allowed to dismiss his wife. Answering, he asked them, ""What did Moses command you?"" They said: ""Moses allowed me to write a divorce letter and dismiss it."" Then Jesus said to them, ""For the sake of your hearts' hardness, he wrote this commandment to you, but at the beginning of creation God created them as a man and a woman: therefore he will leave his father and mother and join his wife, and they will be both bodies. And so they are not two anymore, but one body, so what God has joined together, let not man separate. "" At home, the disciples once more asked Him about it. He told them, ""Whoever divorces his wife and takes another, commits adultery against her, and if a wife leaves her husband and marries another, she commits adultery."" They also brought him children to touch them; but the students roughly forbid them. And Jesus, seeing this, was indignant and said to them, ""Let the children come to me, do not disturb them, for this is the kingdom of God, verily, I say to you: Whoever does not accept the kingdom of God like a child will not come to him"" . And taking them in his arms, he laid his hands on them and blessed them."
2018-10-06,"The seventy-two returned with joy, saying, ""Lord, even the evil spirits give in to your name."" Then he said to them, ""I saw Satan fallen from the sky like lightning, behold, I gave you the power to tread on serpents and scorpions, and over all the power of the adversary, and it will not hurt you, but do not rejoice that the spirits are surrendering to you. but rejoice that your names are written in heaven. "" At that moment, Jesus rejoiced in the Holy Spirit and said, ""I thank You, Father, Lord of heaven and earth, that You have hidden these things from the wise and prudent, and You have revealed them to the simpletons."" Yes, Father, for that was Your good pleasure. He gave me everything, and no one knows who the Son is, only the Father, or who the Father is, only the Son and the Son whom he will reveal. "" Then he turned to the disciples themselves and said: ""Happy eyes that see what you see, for I say to you, many prophets and kings wanted to see what you see and did not see, and hear what you hear and did not hear ""."
2018-10-05,"Because it was the Day of Preparation, so that the flesh would not remain on the Sabbath, because the Sabbath day was a great feast, the Jews would ask Pilate to let the crucified shaved and remove their bodies. So the soldiers came and broke the shins for the first and the second, who were crucified with him. But when they came to Jesus and saw that he had already died, they did not break His legs, only one of the soldiers with a spear pierced His side and immediately blood and water flowed out. The one who has seen it has testified, and his testimony is true. He knows that he is telling the truth so that you will also believe. For it happened that the scripture would be fulfilled: his bones shall not be broken. And again, another Scripture says: They will look at the one they have pierced."
2018-10-04,"Jesus appointed another seventy-two disciples and sent them in front of him to each city and town where he would come. He said to them, ""The harvest is great, but the laborers are few: ask the Lord of the harvest, that he send laborers into his harvest, go, behold, I send you like sheep among wolves, carry no purse or bag, no sandals, no one When you enter a house, first say: Peace to this house, if there is a man who is worthy of peace, your peace will rest on him, if not he will return to you, stay in the same house, eat and drink what they will have Because you deserve a salvation, do not go home from home If you come to a city and welcome you, eat what they give you, heal the sick who are there, and tell them, The kingdom of God has come to you. You will come to a city, and they will not take you, go out into its streets and say: Even the dust that sticks to your legs from your city, we shake off you. After all, know that it is close the kingdom of God, I tell you: Sodom will be easier on this day than this city. """
2018-10-03,"When Jesus and his disciples were walking along the road, someone said to him, ""I will follow you wherever you go."" Jesus replied to him: ""The foxes have burrows and sky-high birds - nests, but the Son of Man has no place to lay his head."" To another he said, ""Follow me."" He answered, ""Lord, let me go to bury my father first."" He replied: ""Leave dead to bury their dead, and go and hear the kingdom of God."" Another said, ""Lord, I want to follow You, but let me say goodbye to my home first."" Jesus replied to him: ""Whoever puts his hand to the plow and looks back is not fit for the kingdom of God."""
2018-10-02,"At that time, the disciples came to Jesus with the question: ""Who is actually the greatest in the kingdom of heaven?"" He called the child, set them before them, and said: ""Verily, I say to you, if you do not change and become like children, you will not enter the kingdom of heaven. Whoever humbles himself like this child is the greatest in the kingdom of heaven. that he would accept one such child in my name, receive me. Be careful not to despise any of these little ones, for I tell you that their angels in heaven always look to my Father who is in heaven. """
2018-10-01,"Jesus' disciples came to think of who is the greatest of them. But Jesus, knowing this thought in their hearts, took the child, put it with him, and said to them, ""Whoever receives this child in my name receives me, and whoever receives me receives him who sent me. he is the smallest among you all, he is great. "" Then John spoke: ""Master, we have seen someone cast out demons in Your name, and we have begun to forbid him, because He is not walking with us."" But Jesus replied to him, ""Stop forbid: for he that is not against you is with you."""
2018-09-30,"The apostle John said to Jesus: ""Teacher, we have seen someone who does not walk with us, how he cast out evil spirits in your name, and we started to ban him, because he does not walk with us."" But Jesus replied, ""Stop it, for no one who makes a miracle in my name will be able to speak evil of me at once. For whoever is not against us, he is with us. Who will give you a cup of water to drink, because for, I say to you, I will not lose my reward, and whoever causes sin for one of those little ones who believe, it would be better for him to tie a millstone around his neck and throw him into the sea, so if your hand is for cause you sin, cut it off, it is better for you to enter into eternal life than to go to hell with two hands in unquenchable fire, and if your leg causes you sin, cut it off, it is better for you to enter life, than with two legs to be thrown into hell, if your eye causes you to sin, pluck it out, it is better for you one-eyed to enter the kingdom of God than to be thrown into hell with two eyes, where the worm does not die and the fire does not go out. """
2018-09-29,"Jesus saw Nathanael approach him, and said of him, ""Look, this is a real Israelite in which there is no deception."" Nathanael said to him, ""How do you know me?"" Jesus answered him, ""I saw you before Philip called you, when you were under a fig tree."" Nathanael answered him, ""Rabbi, you are the Son of God, You are the King of Israel!"" Jesus replied, ""Do you believe that I said to you: I saw you under a fig tree? You will see even more than this."" Then he said to him: ""Verily, verily, I say to you, you will see the heavens open and God's angels ascending and descending on the Son of man."""
2018-09-28,"When Jesus once prayed in private, and the disciples were with him, he addressed them with a question: ""Who do the crowds say to me?"" They replied: ""For John the Baptist, others for Elijah, others say that one of the old prophets has been resurrected."" He asked them, ""And who do you think of me?"" Peter answered: ""For the Messiah of God."" Then he sternly commanded them and advised them not to tell anyone. He added: ""The Son of Man must suffer many things: he will be rejected by elders, high priests and scribes, he will be killed, and on the third day he will be resurrected."""
2018-09-27,"Tetrarch Herod heard about all the miracles done by Christ and was concerned. For some have said that John rose from the dead; others, that Elijah appeared; still others that one of the old prophets has been resurrected. And Herod said, ""I told John,"" Who, then, is he whom I hear such things? "" And he tried to see Him."
